player_id,full_name,position,team,jersey_number,birth_city,birth_state_province,birth_country,birthdate,nationality,height,weight_lbs,birth_lat,birth_lon
8484153,Leo Carlsson,C,ANA,91,Karlstad,,SWE,2004-12-26,,"6'3""",208,59.3809146,13.5027631
8483444,Nathan Gaucher,C,ANA,41,Chambly,Quebec,CAN,2003-11-06,,"6'3""",226,5.3067622,-3.9847643
8483445,Cutter Gauthier,L,ANA,61,Skelleftea,,SWE,2004-01-19,,"6'2""",205,64.7520185,20.9593390
8475798,Mikael Granlund,C,ANA,64,Oulu,,FIN,1992-02-26,,"5'10""",193,65.0117914,25.4701973
8478424,Jansen Harkins,C,ANA,24,Cleveland,Ohio,USA,1997-05-23,,"6'1""",197,41.4996574,-81.6936772
8477527,Ross Johnston,L,ANA,44,Charlottetown,Prince Edward Island,CAN,1994-02-18,,"6'5""",232,46.2683522,-63.1121107
8473986,Alex Killorn,L,ANA,17,Halifax,Nova Scotia,CAN,1989-09-14,,"6'1""",205,-43.4964318,172.5817965
8475184,Chris Kreider,L,ANA,20,Boxford,Massachusetts,USA,1991-04-30,,"6'3""",232,42.6605844,-70.9971204
8482745,Mason McTavish,C,ANA,23,Zurich,,CHE,2003-01-30,,"6'1""",219,53.4822197,-2.2427220
8480068,Ryan Poehling,C,ANA,25,Lakeville,Minnesota,USA,1999-01-03,,"6'2""",206,44.6500510,-93.2432791
8484762,Beckett Sennecke,R,ANA,45,Toronto,Ontario,CAN,2006-01-28,,"6'3""",206,43.7251226,-79.5514013
8478873,Troy Terry,R,ANA,19,Denver,Colorado,USA,1997-09-10,,"6'0""",193,39.7392364,-104.9848620
8478366,Frank Vatrano,R,ANA,77,East Longmeadow,Massachusetts,USA,1994-03-14,,"5'11""",203,42.0649060,-72.5129296
8479705,Jeffrey Viel,L,ANA,28,Rimouski,Quebec,CAN,1997-01-28,,"6'1""",214,48.4501550,-68.5299680
8485512,Tim Washe,C,ANA,42,Detroit,Michigan,USA,2001-08-25,,"6'3""",212,42.3315509,-83.0466403
8474590,John Carlson,D,ANA,74,Natick,Massachusetts,USA,1990-01-10,,"6'3""",220,42.2836393,-71.3469960
8475462,Radko Gudas,D,ANA,7,Prague,,CZE,1990-06-05,,"6'0""",208,50.0490280,14.3137333
8481563,Drew Helleson,D,ANA,14,Farmington,Minnesota,USA,2001-03-26,,"6'3""",208,44.6402434,-93.1435497
8481605,Jackson LaCombe,D,ANA,2,Eden Prairie,Minnesota,USA,2001-01-09,,"6'2""",208,44.8546856,-93.4707860
8483490,Pavel Mintyukov,D,ANA,98,Moscow,,RUS,2003-11-25,,"6'1""",207,55.6918053,37.5556847
8482178,Ian Moore,D,ANA,3,Salt Lake City,Utah,USA,2002-01-04,,"6'3""",205,40.7596198,-111.8867970
8476885,Jacob Trouba,D,ANA,65,Rochester,Michigan,USA,1994-02-26,,"6'3""",212,42.6805880,-83.1338214
8482803,Olen Zellweger,D,ANA,51,Calgary,Alberta,CAN,2003-09-10,,"5'10""",193,51.0414312,-114.0176929
8480843,Lukas Dostal,G,ANA,1,Brno,,CZE,2000-06-22,,"6'2""",190,49.1922443,16.6113382
8478024,Ville Husso,G,ANA,33,Helsinki,,FIN,1995-02-06,,"6'3""",205,60.1839934,24.9589871
8475852,Petr Mrazek,G,ANA,34,Ostrava,,CZE,1992-02-14,,"6'2""",192,49.8349139,18.2820084
8478042,Viktor Arvidsson,L,BOS,71,Skelleftea,,SWE,1993-04-08,,"5'10""",181,64.7520185,20.9593390
8479591,Michael Eyssimont,C,BOS,81,Littleton,Colorado,USA,1996-09-09,,"6'0""",195,39.6133210,-105.0166490
8479987,Morgan Geekie,C,BOS,39,Strathclair,Manitoba,CAN,1998-07-20,,"6'3""",212,50.4044635,-100.3955365
8479661,Tanner Jeannot,L,BOS,84,Estevan,Saskatchewan,CAN,1997-05-29,,"6'2""",221,49.1428076,-102.9910750
8480355,Mark Kastelic,C,BOS,47,Phoenix,Arizona,USA,1999-03-11,,"6'4""",234,33.4484367,-112.0741410
8482177,Marat Khusnutdinov,C,BOS,92,Moscow,,RUS,2002-07-17,,"5'11""",184,55.6918053,37.5556847
8476374,Sean Kuraly,C,BOS,52,Niagara Falls,New York,USA,1993-01-20,,"6'2""",208,43.0848410,-79.0701786
8477496,Elias Lindholm,C,BOS,28,Boden,,SWE,1994-12-02,,"6'1""",200,46.1229748,18.4846651
8483489,Fraser Minten,C,BOS,93,Vancouver,British Columbia,CAN,2004-07-05,,"6'2""",204,49.2555365,-123.1149370
8479999,Casey Mittelstadt,C,BOS,11,Eden Prairie,Minnesota,USA,1998-11-22,,"6'1""",205,44.8546856,-93.4707860
8477956,David Pastrnak,R,BOS,88,Havirov,,CZE,1996-05-25,,"6'0""",199,49.7801136,18.4368451
8482117,Lukas Reichel,L,BOS,75,Nürnberg,,DEU,2002-05-17,,"6'0""",170,49.4538720,11.0772980
8482634,Alex Steeves,C,BOS,21,Saint Paul,Minnesota,USA,1999-12-10,,"6'0""",199,44.9497487,-93.0931028
8478401,Pavel Zacha,C,BOS,18,Brno,,CZE,1997-04-06,,"6'4""",211,49.1922443,16.6113382
8481219,Jonathan Aspirot,D,BOS,45,Mascouche,Quebec,CAN,1999-05-16,,"6'0""",212,45.7453521,-73.6005591
8480887,Jordan Harris,D,BOS,43,Haverhill,Massachusetts,USA,2000-07-07,,"6'0""",189,42.7777829,-71.0767724
8480035,Henri Jokiharju,D,BOS,20,Oulu,,FIN,1999-06-17,,"6'0""",205,65.0117914,25.4701973
8476854,Hampus Lindholm,D,BOS,27,Helsingborg,,SWE,1994-01-20,,"6'4""",217,56.0442098,12.7037060
8482511,Mason Lohrei,D,BOS,6,Baton Rouge,Louisiana,USA,2001-01-17,,"6'5""",218,30.4494155,-91.1869659
